id,language,task,domain,difficulty,prompt,reference_answer,source
qa_en_01,English,Question Answering,Language Learning,Hard,What is the meaning of the question 'What do you do?' in English?,It means 'What is your job/profession?',Espresso English
qa_en_02,English,Question Answering,Language Learning,Hard,"If someone says 'I run my own business', what does the word 'run' mean?",The word 'run' means you are the primary person responsible for operating the business.,Espresso English
qa_en_03,English,Question Answering,Language Learning,Medium,What does the word 'retired' mean in English conversation?,It means you have stopped working (usually after you are 60 or 65 years old).,Espresso English
qa_en_04,English,Question Answering,Language Learning,Easy,Which bird cannot fly?,Penguin.,Espresso English
qa_en_05,English,Question Answering,Language Learning,Hard,What is the correct prepositional phrase to express intention to study in another country: 'thinking of studying' or 'thinking to study'?,The correct way is 'thinking of studying' and not 'thinking to study.',Espresso English
qa_en_06,English,Question Answering,Language Learning,Easy,Name three programming language.,"C, JAVA, Python.",Espresso English
qa_en_07,English,Question Answering,Language Learning,Medium,What does 'hang out' mean in English conversation?,Hang out' means to spend time in an informal way.,Espresso English
qa_en_08,English,Question Answering,Language Learning,Hard,What is the meaning of the word 'humid' in the context of weather?,Humid' means there is a lot of water vapor in the air.,Espresso English
qa_en_09,English,Question Answering,Language Learning,Hard,"In English conversation, what does it mean when someone says 'it is pouring'?",Pouring' means raining very heavily.,Espresso English
qa_en_10,English,Question Answering,Language Learning,Medium,What does 'chilly' mean when describing the weather?,Chilly' means a little bit cold.,Espresso English
qa_en_11,English,Question Answering,Language Learning,Hard,What does the phrase 'bundle up' mean when describing preparation for cold weather?,Bundle up' means to wear warm clothing for protection against the cold.,Espresso English
qa_en_12,English,Question Answering,Language Learning,Medium,What does 'half past four' mean in time-telling?,It means '4:30'.,Espresso English
qa_en_13,English,Question Answering,Language Learning,Hard,What does 'a quarter to twelve' mean in terms of time?,"A quarter' is 15 minutes, so 'a quarter to twelve' means '11:45'.",Espresso English
qa_en_14,English,Question Answering,Language Learning,Hard,What does 'browsing' mean when a customer says 'I'm just browsing' in a store?,Browsing' means looking casually at the items.,Espresso English
qa_en_15,English,Question Answering,Language Learning,Medium,What is a 'try-on room' in a clothing store?,It means the place where you can put on the clothes to see if they are the right size and if you like them.,Espresso English
qa_en_16,English,Question Answering,Language Learning,Hard,"If someone asks 'How's it going?' and you answer 'Do you really wanna know?', what does that imply?","It means that things are going badly, but you are not sure if the other person wants to listen to your problems or not.",Espresso English
qa_en_17,English,Question Answering,Language Learning,Hard,What is the meaning of 'Not bad' as an answer to 'How's it going?'?,It means that things are OK.,Espresso English
qa_en_18,English,Question Answering,Language Learning,Hard,"In English conversation, what can you describe as feeling 'awful'?",You can say you're feeling 'awful' for both physical and emotional pain.,Espresso English
qa_en_19,English,Question Answering,Language Learning,Hard,What does it mean if someone describes their day as 'pretty uneventful'?,This means that nothing particularly special or interesting happened during the day.,Espresso English
qa_en_20,English,Question Answering,Language Learning,Hard,"What is a 'nightmare' in a literal sense, and what does it mean to describe an experience as a 'nightmare'?","A 'nightmare' is a terrible, scary dream. Describing an experience as a 'nightmare' means it was horrible.",Espresso English
qa_en_21,English,Question Answering,Language Learning,Hard,What does it mean when someone says a movie 'did not live up to the hype'?,This means the movie was not as good as its publicity presented.,Espresso English
qa_en_22,English,Question Answering,Language Learning,Hard,What does 'packed' mean when describing a party or event?,Packed' means it was crowded; there were very many people there.,Espresso English
qa_en_23,English,Question Answering,Language Learning,Medium,What does the idiom 'give me a hand' mean?,It means 'can you help me?' – often with a physical task like moving furniture or carrying a box.,Espresso English
qa_en_24,English,Question Answering,Language Learning,Medium,What does 'just a sec' mean in conversation?,This means 'just a second' – you need the other person to wait one moment before you can help them.,Espresso English
qa_en_25,English,Question Answering,Language Learning,Hard,What does the question 'What have you been up to lately?' mean?,This question means 'What have you been doing recently?',Espresso English
qa_en_26,English,Question Answering,Language Learning,Hard,What does the idiom 'taking it easy' mean in conversation?,"This means 'relaxing, not doing anything intense or stressful.'",Espresso English
qa_en_27,English,Question Answering,Language Learning,Hard,What does 'What's the matter?' mean and when should you ask it?,It means 'What's the problem?' – you can ask it to someone who appears sad or upset.,Espresso English
qa_en_28,English,Question Answering,Language Learning,Hard,What does the phrasal verb 'found out' mean in English conversation?,The phrasal verb 'found out' means 'discovered or heard some new information.',Espresso English
qa_en_29,English,Question Answering,Language Learning,Hard,What does 'I'd rather not talk about it' mean in English conversation?,This means 'I'd prefer not to talk about it.',Espresso English
qa_en_30,English,Question Answering,Language Learning,Medium,Is AI capable of processing data?,Yes.,Espresso English
qa_en_31,English,Question Answering,Language Learning,Hard,What is the most common way to order food in an English-speaking restaurant?,The most common way to order food is to say 'I'll have...',Espresso English
qa_en_32,English,Question Answering,Language Learning,Hard,What does the phrase 'to start off' mean when ordering food?,It means you are ordering an appetizer (small amount of food eaten before the main meal).,Espresso English
